City,Date Period,Hotel,Prices,Ratings,Description,Treatment,Time_Period
Barcelona,2025-05-21 : 2025-05-25,Be Mate Paseo de Gracia,1443.0,8.9,"El Be Mate Paseo de Gracia, situado en Barcelona, a 600 metros de La Pedrera, a menos de 1 km de la Casa Batlló, a unos 15 minutos a pie del Paseo de Gracia y cerca del Teatro Tivoli, ofrece jardín, terraza, conexión WiFi gratuita, servicio de enlace con el aeropuerto y servicio de alquiler de bicicletas.

Las habitaciones del hotel incluyen armario, TV de pantalla plana, hervidor de agua y baño privado. Algunas cuentan con balcón, y otras disponen de vistas al jardín.

La plaza de Cataluña se encuentra a 2,1 km y el aeropuerto de Barcelona El Prat queda a 16 km del establecimiento.",1,0
Barcelona,2025-05-21 : 2025-05-25,Hotel La Pau 4 Sup,2568.0,9.6,"El Hotel La Pau 4 Sup está situado en el centro de Barcelona, a 400 metros de la plaza Real y a 2 minutos a pie de la famosa calle de Las Ramblas de Barcelona. La estación de metro de Drassanes está a 350 metros.

El establecimiento cuenta con recepción abierta las 24 horas y guardaequipaje. Hay wifi gratuita en la zona de recepción. Todas las habitaciones disponen de baño privado.

El Hotel La Pau 4 Sup está a 800 metros de La Seu, la catedral de Barcelona, y a 900 metros del Museo Picasso. El aeropuerto de Barcelona-El Prat es el más cercano y está a 12 km.",1,0
Barcelona,2025-05-21 : 2025-05-25,Four Points by Sheraton Barcelona Airport,531.0,8.7,"Four Points by Sheraton Barcelona Airport está en Barcelona, a 16 km de Fuente Mágica de Montjuïc, y dispone de alojamiento con piscina de temporada al aire libre, parking privado, centro de fitness y terraza. El alojamiento está a unos 16 km de Palau Sant Jordi, a 16 km de Camp Nou y a 18 km de Estación de tren de Sants. Se puede comer algo en el restaurante o tomar algo en el bar, y hay wifi gratis.

El hotel ofrece habitaciones con aire acondicionado, escritorio, caja fuerte, TV de pantalla plana y baño privado con ducha. En Four Points by Sheraton Barcelona Airport, las habitaciones incluyen ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno buffet.

En la recepción 24 horas se habla catalán, inglés, español y francés, y el personal está dispuesto a ayudar en cualquier momento.

Montjuïc está a 18 km del alojamiento, y Casa Batlló está a 18 km. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 5 km.",1,0
Barcelona,2025-05-21 : 2025-05-25,Tembo Barcelona,1707.0,8.8,"Tembo Barcelona está en Barcelona, a 16 min a pie de Platja de Llevant, y dispone de alojamiento con piscina al aire libre, parking privado, centro de fitness y salón de uso común. Ofrece terraza, restaurante y bar. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, las habitaciones cuentan con armario, TV de pantalla plana, baño privado, ropa de cama y toallas. Las habitaciones están equipadas con caja fuerte, y algunas también ofrecen vistas a la ciudad. Las unidades cuentan con nevera.

En Tembo Barcelona se puede disfrutar de un desayuno buffet.

Hay una cafetería en el alojamiento, y también se puede usar la zona business.

Platja del Fòrum está a 16 min a pie del alojamiento, y Platja del Litoral está a 1,9 km. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 17 km.",1,0
Barcelona,2025-05-21 : 2025-05-25,Axel TWO Barcelona 4 Sup - Adults Only,976.0,8.3,"El TWO Hotel Barcelona by Axel está situado en pleno barrio gay de Barcelona, a 2 km de la playa de la Barceloneta, y alberga una piscina en la azotea con solárium amplio.

Este hotel hetero friendly proporciona aparcamiento privado. También incluye recepción 24 horas y mostrador de información turística, donde se ofrece información sobre la ciudad y la zona gay. Además, la azotea alberga el bar Sky, un gimnasio, un baño de vapor y una sala de masajes.

Las habitaciones están equipadas con aire acondicionado y minibar. El baño es privado y consta de ducha y secador de pelo. Además, las habitaciones incluyen caja fuerte y cargador universal para teléfonos móviles.

El alojamiento alberga un bar en la azotea con vistas impresionantes a la ciudad, así como un bar salón donde se preparan cócteles fabulosos. El alojamiento sirve un desayuno buffet todas las mañanas y ofrece WiFi gratuita de alta velocidad en todas las instalaciones.

El personal puede facilitar información sobre la zona de los alrededores, conocida como “Gayxample” debido a su animado ocio nocturno gay.

El hotel se encuentra a 2 minutos a pie de la estación de metro de Rocafort y a 10 minutos a pie de la plaza España, que ofrece enlace directo en autobús con el aeropuerto de Barcelona. El TWO Hotel Barcelona by Axel se encuentra a 1,3 km de la avenida del Paralelo, repleta de bares, restaurantes, discotecas y teatros.",1,0
Barcelona,2025-05-21 : 2025-05-25,"Casa Consell Gran Via, Guest House",1057.0,8.6,"El establecimiento Casa Consell Gran Via, Guest House se encuentra en la Gran Vía, en el famoso distrito barcelonés del Ensanche, y ofrece alojamiento con WiFi gratuita y una buena relación calidad precio. Se halla a 700 metros de la plaza de Cataluña y del Paseo de Gracia.

La estación de autobuses de Barcelona Norte queda a solo 500 metros. El establecimiento está bien comunicado con las estaciones de metro de Tetuán y Girona.

Este alojamiento ocupa un edificio histórico con una decoración elegante y elementos originales. Ofrece cocina compartida totalmente equipada y café y té gratuitos durante la estancia.

El establecimiento Casa Consell Gran Via, Guest House está cerca de varios edificios modernistas populares, como la Casa Batlló de Gaudí y la Sagrada Familia. El barrio Gótico y la catedral también están cerca.

Algunas habitaciones tienen terraza o balcón con vistas a la calle. Todas las habitaciones disponen de baño privado con azulejos de cerámica tradicionales.",1,0
Barcelona,2025-05-21 : 2025-05-25,Good-Home Paseo de Gracia,815.0,8.1,"El Good-Home Paseo de Gracia está situado en Barcelona. Ofrece conexión WiFi gratuita y habitaciones con TV, aire acondicionado y balcón o terraza.

Todas las habitaciones cuentan con aire acondicionado, TV de pantalla plana, caja fuerte, zona de estar y baño privado con ducha y secador de pelo.

Este bed and breakfast ofrece un desayuno sencillo de autoservicio, que incluye tostadas, bollería y cereales. La zona de comedor está equipada con microondas, nevera y hervidor eléctrico. Además, hay una tetera/cafetera disponible de 08:00 a 12:00. El establecimiento dispone de mostrador de información turística.

Este bed and breakfast se encuentra a 1 km de la estación de Passeig de Gracia y a 200 metros de la avenida Diagonal y la Pedrera. El aeropuerto de Barcelona-El Prat se sitúa a 13 km.",1,0
Barcelona,2025-05-21 : 2025-05-25,Ohla Eixample,2111.0,8.9,"El hotel boutique Ohla Eixample es elegante, tiene piscina exterior con vistas a la ciudad (disponible durante todo el año) y se halla a 10 minutos a pie de La Pedrera y la Casa Batlló, 2 de las principales obras de Gaudí. Hay WiFi gratuita de alta velocidad en todas las zonas. Se presta el servicio de conserjería Clef d’Or.

Las habitaciones presentan un diseño elegante y disponen de cama grande y baño privado con bañera o ducha de efecto lluvia. Hay TV de pantalla plana de 55 pulgadas con canales vía satélite y dispositivo eRoom Cast, caja fuerte para ordenador portátil de uso gratuito y minibar con especialidades locales. Se proporciona servicio de cobertura.

El restaurante Xerta del establecimiento cuenta con estrella Michelin y propone recetas tradicionales de la región del Ebro. Se sirve un desayuno completo a diario con una gran selección de productos locales. El bar del vestíbulo del hotel es un punto de encuentro tanto para los huéspedes como para los habitantes de la zona. El Sky Bar ofrece cócteles creativos.

El gimnasio cuenta con equipamiento de fitness de ultima generación. Se ofrecen tratamientos de belleza y servicios de moda como «personal shopper» (bajo petición).

El Ohla Eixample está bien ubicado en el distrito del Ensanche, en la zona modernista conocida como Quadrat d’Or (Cuadrado de Oro), a unos 5 minutos a pie de bulevares comerciales como la emblemática avenida Diagonal, la Rambla de Cataluña y el Paseo de Gracia. Este edificio urbano presenta una llamativa fachada cerámica compuesta por más de 1.000 piezas talladas que representan «Las cuatro estaciones» de Vivaldi.",1,0
Barcelona,2025-05-21 : 2025-05-25,Hotel Paxton Barcelona,1620.0,8.8,"Hotel Paxton Barcelona se encuentra en Barcelona, a 12 min a pie de Platja del Bogatell, y ofrece alojamiento con piscina de temporada al aire libre, parking privado, centro de fitness y salón de uso común. Este hotel de 4 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. El hotel tiene terraza, vistas a la ciudad, restaurante y bar.

El hotel ofrece habitaciones con aire acondicionado, escritorio, cafetera, nevera, caja fuerte, TV de pantalla plana y baño privado con ducha. Hotel Paxton Barcelona dispone de algunas habitaciones con vistas a la piscina, y todas tienen hervidor. En el alojamiento, cada habitación está equipada con ropa de cama y toallas.

En Hotel Paxton Barcelona se sirve un desayuno buffet.

Cerca del alojamiento hay puntos de interés como Playa de la Mar Bella, Platja de la Nova Icària y Port Olimpic. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 16 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.",1,0
Barcelona,2025-05-21 : 2025-05-25,Ohla Barcelona,2791.0,9.1,"Este hotel boutique dispone de piscina en la azotea y está situado en el centro histórico de Barcelona, a poca distancia del Palacio de la Música Catalana, de la catedral y de las Ramblas.

Todas las habitaciones del Ohla Barcelona presentan una decoración moderna y disponen de ventanas grandes, TV de pantalla plana y WiFi gratuita. También incluyen baño moderno con albornoces y zapatillas. Algunas habitaciones disfrutan de vistas al Barrio Gótico.

Romain Fornell es actualmente el chef principal de todos los restaurantes del hotel Ohla Barcelona: El restaurante Caelis, el Vistro49 y La Plassohla. Este último está especializado en cocina catalana y ofrece tapas y platos pequeños. Los huéspedes también pueden degustar un cóctel en el bar de la azotea Ohla.

La piscina de la azotea goza de vistas fantásticas a la ciudad y alberga una terraza chill out. Además, el hotel dispone de gimnasio y zona de bienestar con sauna.

El Ohla Barcelona se encuentra a 300 metros de la plaza Catalunya y a 200 metros de la estación de metro Urquinaona. Asimismo, el establecimiento se halla a 10 minutos a pie del Passeig de Gràcia y de los edificios modernistas de Gaudí.",1,0
