City,Date Period,Hotel,Prices,Ratings,Description
Barcelona,2025-06-04 : 2025-06-08,Click&Flat Stylish Torrijos,2444.0,9.1,"Click&Flat Stylish Torrijos está en Barcelona, a 10 min a pie de Paseo de Gracia y a 1,2 km de La Pedrera, y ofrece alojamiento con aire acondicionado, balcón y wifi gratis. Este apartamento está a 2,4 km de Teatro Tívoli y a 2,6 km de Palacio de la Música Catalana.

Este apartamento dispone de 2 dormitorios, cocina con nevera y lavavajillas, TV de pantalla plana, zona de estar y 1 baño con ducha. Hay toallas y ropa de cama en el apartamento.

Cerca del alojamiento hay puntos de interés como Casa Batlló, Estación de metro Passeig de Gràcia y Sagrada Familia. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 15 km."
Barcelona,2025-06-04 : 2025-06-08,Hotel La Pau 4 Sup,2133.0,9.6,"El Hotel La Pau 4 Sup está situado en el centro de Barcelona, a 400 metros de la plaza Real y a 2 minutos a pie de la famosa calle de Las Ramblas de Barcelona. La estación de metro de Drassanes está a 350 metros.

El establecimiento cuenta con recepción abierta las 24 horas y guardaequipaje. Hay wifi gratuita en la zona de recepción. Todas las habitaciones disponen de baño privado.

El Hotel La Pau 4 Sup está a 800 metros de La Seu, la catedral de Barcelona, y a 900 metros del Museo Picasso. El aeropuerto de Barcelona-El Prat es el más cercano y está a 12 km."
Barcelona,2025-06-04 : 2025-06-08,Be Mate Paseo de Gracia,1246.0,8.9,"El Be Mate Paseo de Gracia, situado en Barcelona, a 600 metros de La Pedrera, a menos de 1 km de la Casa Batlló, a unos 15 minutos a pie del Paseo de Gracia y cerca del Teatro Tivoli, ofrece jardín, terraza, conexión WiFi gratuita, servicio de enlace con el aeropuerto y servicio de alquiler de bicicletas.

Las habitaciones del hotel incluyen armario, TV de pantalla plana, hervidor de agua y baño privado. Algunas cuentan con balcón, y otras disponen de vistas al jardín.

La plaza de Cataluña se encuentra a 2,1 km y el aeropuerto de Barcelona El Prat queda a 16 km del establecimiento."
Barcelona,2025-06-04 : 2025-06-08,Four Points by Sheraton Barcelona Airport,508.0,8.7,"Four Points by Sheraton Barcelona Airport está en Barcelona, a 16 km de Fuente Mágica de Montjuïc, y dispone de alojamiento con piscina de temporada al aire libre, parking privado, centro de fitness y terraza. El alojamiento está a unos 16 km de Palau Sant Jordi, a 16 km de Camp Nou y a 18 km de Estación de tren de Sants. Se puede comer algo en el restaurante o tomar algo en el bar, y hay wifi gratis.

El hotel ofrece habitaciones con aire acondicionado, escritorio, caja fuerte, TV de pantalla plana y baño privado con ducha. En Four Points by Sheraton Barcelona Airport, las habitaciones incluyen ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno buffet.

En la recepción 24 horas se habla catalán, inglés, español y francés, y el personal está dispuesto a ayudar en cualquier momento.

Montjuïc está a 18 km del alojamiento, y Casa Batlló está a 18 km. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 5 km."
Barcelona,2025-06-04 : 2025-06-08,Tembo Barcelona,2411.0,8.8,"Tembo Barcelona está en Barcelona, a 16 min a pie de Platja de Llevant, y dispone de alojamiento con piscina al aire libre, parking privado, centro de fitness y salón de uso común. Ofrece terraza, restaurante y bar. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, las habitaciones cuentan con armario, TV de pantalla plana, baño privado, ropa de cama y toallas. Las habitaciones están equipadas con caja fuerte, y algunas también ofrecen vistas a la ciudad. Las unidades cuentan con nevera.

En Tembo Barcelona se puede disfrutar de un desayuno buffet.

Hay una cafetería en el alojamiento, y también se puede usar la zona business.

Platja del Fòrum está a 16 min a pie del alojamiento, y Platja del Litoral está a 1,9 km. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 17 km."
Barcelona,2025-06-04 : 2025-06-08,Axel TWO Barcelona 4 Sup - Adults Only,1424.0,8.3,"El TWO Hotel Barcelona by Axel está situado en pleno barrio gay de Barcelona, a 2 km de la playa de la Barceloneta, y alberga una piscina en la azotea con solárium amplio.

Este hotel hetero friendly proporciona aparcamiento privado. También incluye recepción 24 horas y mostrador de información turística, donde se ofrece información sobre la ciudad y la zona gay. Además, la azotea alberga el bar Sky, un gimnasio, un baño de vapor y una sala de masajes.

Las habitaciones están equipadas con aire acondicionado y minibar. El baño es privado y consta de ducha y secador de pelo. Además, las habitaciones incluyen caja fuerte y cargador universal para teléfonos móviles.

El alojamiento alberga un bar en la azotea con vistas impresionantes a la ciudad, así como un bar salón donde se preparan cócteles fabulosos. El alojamiento sirve un desayuno buffet todas las mañanas y ofrece WiFi gratuita de alta velocidad en todas las instalaciones.

El personal puede facilitar información sobre la zona de los alrededores, conocida como “Gayxample” debido a su animado ocio nocturno gay.

El hotel se encuentra a 2 minutos a pie de la estación de metro de Rocafort y a 10 minutos a pie de la plaza España, que ofrece enlace directo en autobús con el aeropuerto de Barcelona. El TWO Hotel Barcelona by Axel se encuentra a 1,3 km de la avenida del Paralelo, repleta de bares, restaurantes, discotecas y teatros."
Barcelona,2025-06-04 : 2025-06-08,Ohla Eixample,1845.0,8.9,"El hotel boutique Ohla Eixample es elegante, tiene piscina exterior con vistas a la ciudad (disponible durante todo el año) y se halla a 10 minutos a pie de La Pedrera y la Casa Batlló, 2 de las principales obras de Gaudí. Hay WiFi gratuita de alta velocidad en todas las zonas. Se presta el servicio de conserjería Clef d’Or.

Las habitaciones presentan un diseño elegante y disponen de cama grande y baño privado con bañera o ducha de efecto lluvia. Hay TV de pantalla plana de 55 pulgadas con canales vía satélite y dispositivo eRoom Cast, caja fuerte para ordenador portátil de uso gratuito y minibar con especialidades locales. Se proporciona servicio de cobertura.

El restaurante Xerta del establecimiento cuenta con estrella Michelin y propone recetas tradicionales de la región del Ebro. Se sirve un desayuno completo a diario con una gran selección de productos locales. El bar del vestíbulo del hotel es un punto de encuentro tanto para los huéspedes como para los habitantes de la zona. El Sky Bar ofrece cócteles creativos.

El gimnasio cuenta con equipamiento de fitness de ultima generación. Se ofrecen tratamientos de belleza y servicios de moda como «personal shopper» (bajo petición).

El Ohla Eixample está bien ubicado en el distrito del Ensanche, en la zona modernista conocida como Quadrat d’Or (Cuadrado de Oro), a unos 5 minutos a pie de bulevares comerciales como la emblemática avenida Diagonal, la Rambla de Cataluña y el Paseo de Gracia. Este edificio urbano presenta una llamativa fachada cerámica compuesta por más de 1.000 piezas talladas que representan «Las cuatro estaciones» de Vivaldi."
Barcelona,2025-06-04 : 2025-06-08,"Casa Consell Gran Via, Guest House",1496.0,8.6,"El establecimiento Casa Consell Gran Via, Guest House se encuentra en la Gran Vía, en el famoso distrito barcelonés del Ensanche, y ofrece alojamiento con WiFi gratuita y una buena relación calidad precio. Se halla a 700 metros de la plaza de Cataluña y del Paseo de Gracia.

La estación de autobuses de Barcelona Norte queda a solo 500 metros. El establecimiento está bien comunicado con las estaciones de metro de Tetuán y Girona.

Este alojamiento ocupa un edificio histórico con una decoración elegante y elementos originales. Ofrece cocina compartida totalmente equipada y café y té gratuitos durante la estancia.

El establecimiento Casa Consell Gran Via, Guest House está cerca de varios edificios modernistas populares, como la Casa Batlló de Gaudí y la Sagrada Familia. El barrio Gótico y la catedral también están cerca.

Algunas habitaciones tienen terraza o balcón con vistas a la calle. Todas las habitaciones disponen de baño privado con azulejos de cerámica tradicionales."
Barcelona,2025-06-04 : 2025-06-08,Ohla Barcelona,2296.0,9.1,"Este hotel boutique dispone de piscina en la azotea y está situado en el centro histórico de Barcelona, a poca distancia del Palacio de la Música Catalana, de la catedral y de las Ramblas.

Todas las habitaciones del Ohla Barcelona presentan una decoración moderna y disponen de ventanas grandes, TV de pantalla plana y WiFi gratuita. También incluyen baño moderno con albornoces y zapatillas. Algunas habitaciones disfrutan de vistas al Barrio Gótico.

Romain Fornell es actualmente el chef principal de todos los restaurantes del hotel Ohla Barcelona: El restaurante Caelis, el Vistro49 y La Plassohla. Este último está especializado en cocina catalana y ofrece tapas y platos pequeños. Los huéspedes también pueden degustar un cóctel en el bar de la azotea Ohla.

La piscina de la azotea goza de vistas fantásticas a la ciudad y alberga una terraza chill out. Además, el hotel dispone de gimnasio y zona de bienestar con sauna.

El Ohla Barcelona se encuentra a 300 metros de la plaza Catalunya y a 200 metros de la estación de metro Urquinaona. Asimismo, el establecimiento se halla a 10 minutos a pie del Passeig de Gràcia y de los edificios modernistas de Gaudí."
Barcelona,2025-06-04 : 2025-06-08,Sixtytwo Hotel,2071.0,9.3,"Este hotel boutique tiene un salón elegante y está ubicado en Barcelona, junto a la estación Passeig de Gràcia. Ofrece habitaciones con WiFi gratuita y TV de pantalla plana.

El Sixtytwo Hotel ocupa un edificio típico del siglo XIX. Las habitaciones son elegantes y disponen de minibar y cafetera Nespresso. Algunas tienen vistas al Paseo de Gracia, mientras que otras tienen vistas al bonito jardín japonés del hotel.

Se sirve un desayuno continental a diario en una cafetería cercana. La recepción está abierta las 24 horas y proporciona servicio de alquiler de coches.

Este hotel boutique tiene 45 habitaciones amplias y elegantes. Se encuentra en el famoso Paseo de Gracia barcelonés, cerca de la avenida Diagonal, la mejor zona comercial de la ciudad, que cuenta con una gran variedad de restaurantes y bares de tapas.

El Hotel Sixtytwo se halla frente a la Casa Batlló de Gaudí y a solo 3 minutos a pie de La Pedrera. La plaza de Cataluña queda a solo 10 minutos a pie. La cercana estación Passeig de Gràcia ofrece servicios de metro y trenes directos al aeropuerto."
